Brand Name,,,,YearFounder,,HeadQuarters,,NumberOfLocations
Dicki - Deckow,,,,1928,,Lake Llewellynworth,,395
"Stanton, Koepp and Hodkiewicz ",,,,2018,,Levimouth,,488
Lockman - Ledner,,,,1912,,Rohanport  ,,186
Muller - Franey,,,,1942,,East Bessie,,987
"Bailey, Rolfson and Reichert",,,,2017,,West Lueland ,,435
Hickle LLC ,,,,1966,,Marleeville ,,195
Considine Group ,,,,1937,,Largo ,,242
 Wuckert Inc ,,,,2019,,Uptonfort  ,,647
"Marquardt, Klein and Bosco",,,,1921,,Hilbertland,,469
Quitzon and Sons,,,,2004,,Aliso Viejo ,,615
